country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
LU,H,-48.64824752366047,4.449999999999999,2.8200000000000003,4.12,2.6399999999999997,-0.5299999999999998,2.58,0.3999999999999999,2.94,-0.3710374152421423
LU,J,-1.6555639744013888,19.999999999999996,19.099999999999998,15.6,7.51,7.0,0.30000000000000004,6.3,7.220000000000001,-0.010145435134080394
LU,N,11.058005869971211,9.55,5.839999999999999,4.35,2.7800000000000002,2.2199999999999998,-1.01,1.85,1.3999999999999995,0.19964483921307563
LV,C,3.177802480060734,5.780000000000001,3.72,2.15,1.5,1.7199999999999998,0.51,2.7600000000000002,1.7000000000000002,0.09027270492177397
LV,F,10.410588613376447,1.9600000000000004,0.27,-1.11,0.41000000000000003,-0.84,0.63,-0.18999999999999995,-0.8200000000000001,0.4272998427406134
LV,G,5.801062898250446,3.66,1.4400000000000002,0.43000000000000005,-0.3899999999999999,0.24999999999999994,0.72,3.8800000000000003,-0.3900000000000001,0.18298782903323874
LV,H,6.337817801056083,1.7400000000000002,1.9,0.5700000000000003,-1.73,-0.7,-0.16000000000000014,-1.33,-0.6699999999999999,0.252053689991377
LV,I,8.685783321107795,1.06,1.01,0.0,1.01,-0.14,0.0,0.24,0.24,0.6129874151478498
LV,J,11.651876824664718,23.67,16.78,8.1,8.120000000000001,10.129999999999999,0.41999999999999993,12.19,2.719999999999999,0.23166743351503039
LV,M,8.061851448351476,14.180000000000001,7.93,5.24,3.8100000000000005,2.3299999999999996,0.22999999999999998,5.029999999999999,3.5600000000000005,0.2102857810494938
MT,C,4.426331770832796,7.43,2.61,1.1099999999999999,2.6599999999999997,2.0399999999999996,1.1199999999999999,2.54,0.79,0.09052963167772354
MT,F,1.7037934291671135,1.7399999999999993,-1.27,0.0,-0.73,0.0,1.6,-0.65,1.1900000000000002,0.04673282649880939
MT,G,7.090621345581148,3.0900000000000007,1.69,-0.30000000000000004,1.5,-0.8899999999999997,0.040000000000000036,1.7000000000000002,-0.31000000000000005,0.17180620381469325
MT,H,36.543388380212676,5.629999999999999,2.4399999999999995,4.23,2.05,-0.9100000000000001,2.6100000000000003,2.33,0.6500000000000004,0.5023825462371914
MT,I,16.019847587161433,1.9200000000000008,0.7599999999999998,-0.5700000000000003,0.7999999999999998,-1.9899999999999998,-0.8400000000000001,0.8600000000000003,-0.3700000000000001,0.608306471808592
MT,J,52.66888401224597,29.72,20.05,16.39,16.72,14.57,0.65,14.42,12.59,0.31387679757211995
MT,N,1.8727461395166713,8.41,2.3899999999999997,1.3399999999999999,1.7800000000000002,2.4299999999999997,-0.20999999999999996,5.919999999999999,0.2999999999999998,0.07471359470275019
NL,C,17.665240182774653,5.610000000000001,3.91,2.0900000000000003,-2.8099999999999996,-2.5600000000000005,-1.5699999999999998,2.6700000000000004,-0.9299999999999997,0.12466239270544932
NL,F,14.575781186706905,1.490000000000001,1.2199999999999998,1.38,-1.4800000000000002,-0.26,-0.6699999999999999,0.8699999999999999,0.1499999999999999,0.15494206367283603
NL,G,2.2340952945333328,11.11,6.449999999999999,3.16,-1.08,-0.5899999999999999,-2.27,6.02,-0.23000000000000043,0.029585403571632085
NL,H,17.56736703748693,-0.4900000000000002,0.5200000000000005,0.3999999999999999,-0.6200000000000001,-0.29000000000000004,-2.1300000000000003,1.4200000000000002,-1.5999999999999996,0.1920417451106733
NL,I,9.624884431629273,4.079999999999999,2.9899999999999998,1.08,-1.1099999999999999,-0.3500000000000001,0.08999999999999997,1.4499999999999997,-0.53,0.33313239488611535
NL,J,24.93097532718943,25.980000000000004,22.809999999999995,16.939999999999998,9.49,7.639999999999999,0.30000000000000027,11.479999999999999,6.18,0.19410067720865065
NL,L,-40.43427246662429,11.2,5.51,2.17,-2.0199999999999996,3.67,0.18,8.51,2.93,-0.1503588131043676
NL,M,9.685589019570273,19.73,15.129999999999999,7.8999999999999995,1.8499999999999996,1.6099999999999994,-0.1499999999999999,5.609999999999999,1.9500000000000002,0.09970518858404542
NL,N,16.286467410006622,11.97,7.87,3.17,0.040000000000000036,0.36999999999999966,-0.5099999999999999,4.419999999999999,0.029999999999999805,0.27955091425017375
PL,C,10.552996610708966,2.8,1.46,0.7799999999999999,1.1300000000000001,0.5,0.20999999999999996,1.2100000000000002,1.37,0.2531529605898877
PL,F,14.990837614895327,1.6599999999999997,1.04,0.15,0.45999999999999996,0.29,0.45999999999999996,0.39999999999999997,0.55,0.39231812764625174
PL,G,10.178266396814472,2.44,1.4500000000000002,0.5599999999999999,1.0499999999999998,0.52,-0.20000000000000007,0.8700000000000001,1.25,0.2574263160861383
PL,H,15.852961582558653,0.6099999999999999,0.6699999999999999,0.30000000000000004,0.26,0.28,0.45,0.42,0.78,0.4691318784687577
PL,I,16.620790061688353,1.4400000000000002,0.38,0.24,0.18000000000000005,0.14,0.02,1.0499999999999998,-0.16000000000000003,0.7025303253750868
PL,J,19.86207902763568,16.28,9.41,4.950000000000001,3.8100000000000005,10.030000000000001,1.11,7.5600000000000005,8.72,0.29294521254083694
PL,L,23.36296327341551,2.26,0.7799999999999999,0.3,0.48,0.44999999999999996,0.04,1.53,0.26,0.3842374504862405
PL,M,12.157570348180876,7.969999999999999,4.76,3.4099999999999997,3.24,3.9300000000000006,0.16,3.7199999999999998,3.65,0.2938709632303693
PL,N,14.101160436720068,3.5599999999999996,2.28,1.0899999999999999,1.42,3.15,1.06,0.98,0.8300000000000001,0.4892010716222157
PT,C,6.6376857248479695,-1.7999999999999998,0.6599999999999997,0.62,-0.18999999999999995,-1.42,-0.09999999999999987,-0.6099999999999999,-1.27,0.16249789026574968
PT,F,5.3532310031094354,1.6800000000000002,2.07,0.12,-0.22,-0.28,0.0,1.0499999999999998,0.08000000000000002,0.17512281764490023
PT,G,6.140185674476918,-0.8600000000000003,-0.8500000000000001,1.56,-0.47,-1.17,-0.6099999999999999,0.41999999999999993,-1.5699999999999998,0.15991691473676983
